paper,summ,url,country,allocation,NOCT,involved,tools,relevance,economic,psych,social,health,schooling,means,research_design,employment_effects,size,path
"Francesa Bastagli, Jessica Hagen-Zanker, Luke Harman, Valentina Barca, Georgina Sturge and Tanja Schmidt, Luca Pallerano. Cash Transfers: What Does the Evidence Say? A rigorous review of programme impact and the role of design and implementation features. Overseas Development ","Cash transfers are linked to reductions in monetary poverty, increases in total and food expenditure, increases in school attendance, increases in the uptake of health services, and increases in savings, livestock and agricultural ownership. The effect of cash transfers on employment outcomes remains unclear. Higher transfer levels are associated with larger impacts. Longer duration of exposure to cash transfers are linked to greater improvements in outcomes. Cash transfers conditional on certain behaviors more positively affect the outcome related to the behavior than in unconditional cash transfers.",https://www.odi.org/publications/10505-cash-transfers-what-does-evidence-say-rigorous-review-impacts-and-role-design-and-implementation,,GT,A systematic review of 201 studies on cash transfers (conditional and unconditional) published between 2000 and 2015,,,"Economic, Health, Employment, Educational Effects. Effects of varying durations and amounts of cash transfers.",1,0,0,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"Francesa Bastagli, Jessica Hagen-Zanker, Luke Harman, Valentina Barca, Georgina Sturge and Tanja Schmidt, Luca Pallerano. Cash Transfers: What Does the Evidence Say? A rigorous review of programme impact and the role of design and implementation features. Overseas Development ","Cash transfers are linked to reductions in monetary poverty, increases in total and food expenditure, increases in school attendance, increases in the uptake of health services, and increases in savings, livestock and agricultural ownership. The effect of cash transfers on employment outcomes remains unclear. Higher transfer levels are associated with larger impacts. Longer duration of exposure to cash transfers are linked to greater improvements in outcomes. Cash transfers conditional on certain behaviors more positively affect the outcome related to the behavior than in unconditional cash transfers.",https://www.odi.org/publications/10505-cash-transfers-what-does-evidence-say-rigorous-review-impacts-and-role-design-and-implementation,,GT,A systematic review of 201 studies on cash transfers (conditional and unconditional) published between 2000 and 2015,,,"Economic, Health, Employment, Educational Effects. Effects of varying durations and amounts of cash transfers.",1,0,0,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"Francesa Bastagli, Jessica Hagen-Zanker, Luke Harman, Valentina Barca, Georgina Sturge and Tanja Schmidt, Luca Pallerano. Cash Transfers: What Does the Evidence Say? A rigorous review of programme impact and the role of design and implementation features. Overseas Development ","Cash transfers are linked to reductions in monetary poverty, increases in total and food expenditure, increases in school attendance, increases in the uptake of health services, and increases in savings, livestock and agricultural ownership. The effect of cash transfers on employment outcomes remains unclear. Higher transfer levels are associated with larger impacts. Longer duration of exposure to cash transfers are linked to greater improvements in outcomes. Cash transfers conditional on certain behaviors more positively affect the outcome related to the behavior than in unconditional cash transfers.",https://www.odi.org/publications/10505-cash-transfers-what-does-evidence-say-rigorous-review-impacts-and-role-design-and-implementation,,GT,A systematic review of 201 studies on cash transfers (conditional and unconditional) published between 2000 and 2015,,,"Economic, Health, Employment, Educational Effects. Effects of varying durations and amounts of cash transfers.",1,0,0,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"H. Bewley, A. Bryson, J. Forth.  Small and Medium-sized Enterprises: Findings from the 2004 Workplace Employment Relations Survey. National Institute for Economic and Social Research and Policy Studies Institute. 2014. ","In Great Britain, employees at small firms are more likely to believe that they have job autonomy, influence, security a greater degree of influence over the final decisions made by managers, as well as a higher level of general well-being than employees working for larger firms.",http://www.psi.org.uk/site/publication_detail/1351/,,-,,U.K.,Variables and measures of employee well-being and workplace relations,Effects on workplace relations and employee-well being in SMEs,0,1,0,0,0,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/2.jpg
John W. Budd. Worker Well-being and the Importance of Work: Bridging the Gap. European Journal of Industrial Relations. 2015.,"Worker well-being is optimized when an individual’s work matches their skill set, allows freedom of self-determination, and offers opportunities for challenge and initiative.",http://journals.sagepub.com/doi/abs/10.1177/0959680114535312,,-,,Germany,German Socioeconomic Panel (GSOEP),Psychological Effects,0,1,0,0,0,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/2.jpg
"J. Costello, A. Erkanli, W. Copeland. Association of Family Income Supplements in Adolescence With Development of Psychiatric and Substance Use Disorders in Adulthood Among an American Indian Population.  Journal of the American Medical Association. May 2010. ","Lower prevalence of psychopathology in American Indian youth following a family income supplement persisted into adulthood. The effect was strongest for alcohol and cannabis abuse, dependence, or both, and was specific to the youngest cohort.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3049729/,,-,,U.S.,,Psychological Effects,0,1,0,0,1,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"J. Costello, A. Erkanli, W. Copeland. Association of Family Income Supplements in Adolescence With Development of Psychiatric and Substance Use Disorders in Adulthood Among an American Indian Population.  Journal of the American Medical Association. May 2010. ","Lower prevalence of psychopathology in American Indian youth following a family income supplement persisted into adulthood. The effect was strongest for alcohol and cannabis abuse, dependence, or both, and was specific to the youngest cohort.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3049729/,,-,,U.S.,,Psychological Effects,0,1,0,0,1,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"A. Clark, A. Oswald. Satisfaction and comparison income. Journal of Public Economics. September 1996. ","In Great Britain, workers' reported satisfaction levels are inversely related to their comparison wage rates, and strongly declining in the level of education. ",https://www.sciencedirect.com/science/article/pii/0047272795015647,,-,,U.S.,,Psychological Effects,0,1,0,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/2.jpg
A. Ferrer-i-Carbonell. Income and well-being: an empirical analysis of the comparison income effect. Journal of Public Economics. September 2004. ,"In West Germany, one's own income is about as important as the income of others (a reference group) for individual happiness. Individuals are happier the larger their income is in comparison with the income of the reference group, although this comparison effect is asymmetric.",http://darp.lse.ac.uk/papersDB/Ferrer-i-Carbonell_(JPubE05).pdf,,-,,Germany,German Socioeconomic Panel (GSOEP),Psychological and Social (comparative income) Effects,0,1,1,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/3.jpg
A. Ferrer-i-Carbonell. Income and well-being: an empirical analysis of the comparison income effect. Journal of Public Economics. September 2004. ,"In West Germany, one's own income is about as important as the income of others (a reference group) for individual happiness. Individuals are happier the larger their income is in comparison with the income of the reference group, although this comparison effect is asymmetric.",http://darp.lse.ac.uk/papersDB/Ferrer-i-Carbonell_(JPubE05).pdf,,-,,Germany,German Socioeconomic Panel (GSOEP),Psychological and Social (comparative income) Effects,0,1,1,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/3.jpg
"G. W. Imbens, D. B. Rubin, B. I. Sacerdote. Estimating the effect of unearned income on labor earnings, savings, and consumption: Evidence from a survey of lottery players. American Economic Review, 91(4), 778–794. 2001. ","Unearned income reduces labor earnings, with a marginal propensity to consume leisure of approximately 11 percent, and with larger effects for individuals between 55 and 65 years old. The savings rate for unearned income is about 16 percent for those who received half their income and increases with the proportion of the income received.",http://public.econ.duke.edu/~hf14/teaching/povertydisc/readings/imbens-rubin-sacerdote2001.pdf,,SB,Lottery prizes won by people playing the lottery in Massachusetts in the 1980s,U.S. (Massachusetts),,Economic Effects,1,0,0,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/1.jpg
"Andrew K. MacLeod, Clare Conway. Well-being and the Anticipation of Future Positive Experiences: The Role of Income, Social Networks, and Planning Ability. Cognition and Emotion. 2012.","Subjective well-being increases with the number of anticipated positive experiences, which in turn increases with the size of one's social network, the number of steps in plans to achieve goals, and the size of household income.",https://eric.ed.gov/?id=EJ219276,,-,,U.K.,"Temporal Satisfaction with Life Scale, Exchange Approach Scale, Positive and Negative Affect Scale",Psychological Effects. Expectations of future positive effects.,0,1,0,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/2.jpg
"R. Maynard, R .Murnane. The Effects of a Negative Income Tax on School Performance: Results of an Experiment. The Journal of Human Resources, 14(4), 463-476. 1979. ","A negative income tax led to an increase in the average reading achievement of children in grades 4 through 6, but did not have any observable beneficial effects for older children.",https://www.jstor.org/stable/pdf/145317.pdf?seq=1#page_scan_tab_contents,,GT,Negative Income Tax,U.S.,,Educational Effects,0,0,0,0,1,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"J Riccio & C. Miller. New York City’s First Conditional Cash Transfer Program: What Worked, What Didn’t (Executive Summary). MDRC. 2016. ","Conditional cash transfers reduced financial hardship, increased graduation rates for reading-proficient 9th graders who entered high school, and increased households' use of preventive dental services. It did not affect school outcomes for elementary and middle school students, the use of preventive medical services, and parents’ employment in or earnings from jobs covered by the unemployment insurance system.",https://www.mdrc.org/publication/new-york-city-s-first-conditional-cash-transfer-program,,SB,Families received over $8700 on average over a three-year period.,U.S. (New York),,"Economic, Educational, Health Employment Effects",1,0,0,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"J Riccio & C. Miller. New York City’s First Conditional Cash Transfer Program: What Worked, What Didn’t (Executive Summary). MDRC. 2016. ","Conditional cash transfers reduced financial hardship, increased graduation rates for reading-proficient 9th graders who entered high school, and increased households' use of preventive dental services. It did not affect school outcomes for elementary and middle school students, the use of preventive medical services, and parents’ employment in or earnings from jobs covered by the unemployment insurance system.",https://www.mdrc.org/publication/new-york-city-s-first-conditional-cash-transfer-program,,SB,Families received over $8700 on average over a three-year period.,U.S. (New York),,"Economic, Educational, Health Employment Effects",1,0,0,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"J Riccio & C. Miller. New York City’s First Conditional Cash Transfer Program: What Worked, What Didn’t (Executive Summary). MDRC. 2016. ","Conditional cash transfers reduced financial hardship, increased graduation rates for reading-proficient 9th graders who entered high school, and increased households' use of preventive dental services. It did not affect school outcomes for elementary and middle school students, the use of preventive medical services, and parents’ employment in or earnings from jobs covered by the unemployment insurance system.",https://www.mdrc.org/publication/new-york-city-s-first-conditional-cash-transfer-program,,SB,Families received over $8700 on average over a three-year period.,U.S. (New York),,"Economic, Educational, Health Employment Effects",1,0,0,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"P. Schulz. Universal Basic Income in a Feminist Perspective and Gender Analysis. Global Social Policy: An Interdisciplinary Journal of Public Policy and Social Development, vol. 17, no. 1, 2017, pp. 89–92. January 2017. ",A universal basic income can help to combat historical structural inequalities inherited by modern women by freeing women-led households from the vulnerability of poverty and subsequent marginalization. It can also help balance unequal power relationships with male relatives and partners.,http://journals.sagepub.com/doi/full/10.1177/1468018116686503,,SB,UBI,U.S.,,Gender Effects,0,0,1,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/3.jpg
"B. Wanrooy, H. Bewley, A. Bryson, J. Forth, S. Freeth, L. Stokes, S. Wood. The 2011 Workplace Employment Relations Study. Economic and Social Research Council, Advisory, Conciliation and Arbitration Service, and National Institute of Economic and Social Research. ","This document reports the results of a large scale study conducted in 2011 by the UK government on employee relations, and covers the experiences of workplaces and their workforces in the 2008-09 economic recession, the structures and practices of employment relations and the experiences of workers",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/336651/bis-14-1008-WERS-first-findings-report-fourth-edition-july-2014.pdf,,-,,U.K.,"Variables, measures, survey and interview guides for measuring employee well-being",Effects on work experience,0,1,0,0,0,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/2.jpg
"Asfaw, S., Davis, B., Dewbre, J., Handa, S., & Winters, P. (2014). Cash transfer programme, productive activities and labour supply: evidence from a randomised experiment in Kenya. The journal of development studies, 50(8), 1172-1196.","Kenya's Cash Transfer for Orphans and Vulnerable Children Programme increased food consumption coming from home production, accumulation of productive assets, and formation of non-farm enterprise, especially amongst females. It provided more flexibility to families in terms of labor allocation decisions, and reduced child labor, especially for boys. However, it had little impact on crop production.",http://www.tandfonline.com/doi/abs/10.1080/00220388.2014.919383,,GT,A flat monthly transfer of Ksh1500 to ultra-poor families with orphans and vulnerable children aged 17 years and younger.,Kenya,,"Health, Employment Effects",0,0,0,1,0,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/4.jpg
Ugo Colombino. Is Unconditional Basic Income a Viable Alternative to Other Social Welfare Measures? IZA World of Labor. 2015.,"An unconditional basic income can redistribute the gains from automation and globalization, build a buffer against shocks and systemic risks, and generate positive labor supply incentives amongst the poor. While it is simple, transparent, and has low administration costs, financing it likely requires higher taxes, hence tax systems need to be carefully designed to avoid canceling the potential benefits of unconditional basic income through efficiency losses.",https://wol.iza.org/articles/is-unconditional-basic-income-viable-alternative-to-other-social-welfare-measures/long,,SB,UBI,,,Political and Economic Feasibility,1,0,0,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/1.jpg
"A. Randall, E. Simeonova, W. Copeland, A. Angold, E. J. Costello. Young Adult Obesity and Household Income: Effects of Unconditional Cash Transfers. American Economic Journal: Applied Economics. April 2013. ","Household cash transfers lead to a larger increase in weight for children from the initially poorest households relative to those from richer households, and this is not due to initial health conditions.",https://www.jstor.org/stable/43189428,,SB,Cash transfers,U.S (North Carolina),,Health Effects,0,0,0,1,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/4.jpg
"M. Nikiforos, M. Steinbaum, G. Zezza. Modeling the Macroeconomic Effects of a Universal Basic Income. Roosevelt Institute. August 2017.","Based on the Levy Institute macroeconomic model, enacting a UBI and paying for it by increasing the federal debt would grow the economy. When paying for the policy by increasing taxes, the distributional effects of UBI causes the economy to grow.",http://rooseveltinstitute.org/wp-content/uploads/2017/08/Modeling-the-Macroeconomic-Effects-of-a-Universal-Basic-Income.pdf,,,"Three versions of UBI:  $1,000 a month to all adults, $500 a month to all adults, and a $250 a month child allowance",,,Macroeconomic effects of a UBI based on the Levy Institute macroeconomic model,1,0,0,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/1.jpg
"J. Cunha. Testing Paternalism: Cash versus In-Kind Transfers. American Economic Journal: Applied Economics 2014, 6(2): 195–230. 2014","In-kind food transfers implemented to promote better nutrition did not lead to meaningful differential improvements in overall consumption and health outcomes as compared to the provision of cash transfers, as the cash was largely spent on nutritious food as well. ",https://pubs.aeaweb.org/doi/pdfplus/10.1257/app.6.2.195,,,In kind transfer of 10 food items providing a balanced diet worth 205 pesos vs a cash transfer of 150 pesos,Mexico,,Comparing paternalistic in-kind transfers with cash transfers,0,0,0,1,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/4.jpg
I. Marinescu. No Strings Attached: The Behavioral Effects of U.S. Unconditional Cash Transfer Programs. Roosevelt Institute. May 2017.,"A review of the empirical results from a variety of studies on unconditional cash transfer programs showed that there is usually no impact on or a moderate decrease in labor participation and they usually lead to a significant increase in other quality-of-life benefits, such as mental and physical health, educational outcomes, parenting, and reduced criminal activity.",http://rooseveltinstitute.org/wp-content/uploads/2017/05/No-Strings-Attached-050417-1.pdf,,,,,,General economic impact of unconditional cash transfers,1,1,0,0,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
I. Marinescu. No Strings Attached: The Behavioral Effects of U.S. Unconditional Cash Transfer Programs. Roosevelt Institute. May 2017.,"A review of the empirical results from a variety of studies on unconditional cash transfer programs showed that there is usually no impact on or a moderate decrease in labor participation and they usually lead to a significant increase in other quality-of-life benefits, such as mental and physical health, educational outcomes, parenting, and reduced criminal activity.",http://rooseveltinstitute.org/wp-content/uploads/2017/05/No-Strings-Attached-050417-1.pdf,,,,,,General economic impact of unconditional cash transfers,1,1,0,0,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
I. Marinescu. No Strings Attached: The Behavioral Effects of U.S. Unconditional Cash Transfer Programs. Roosevelt Institute. May 2017.,"A review of the empirical results from a variety of studies on unconditional cash transfer programs showed that there is usually no impact on or a moderate decrease in labor participation and they usually lead to a significant increase in other quality-of-life benefits, such as mental and physical health, educational outcomes, parenting, and reduced criminal activity.",http://rooseveltinstitute.org/wp-content/uploads/2017/05/No-Strings-Attached-050417-1.pdf,,,,,,General economic impact of unconditional cash transfers,1,1,0,0,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"Randall Akee, William E. Copeland, Gordon Keeler, Elizabeth Jane Costello. Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits. American Economic Journal Applied Economics. January 2010.","An regular unconditional cash transfer led to children having higher levels of education in their young adulthood and a lower incidence of criminality for minor offenses, likely via improved parental quality.",https://www.researchgate.net/publication/46554211_Parents'_Incomes_and_Children's_Outcomes_A_Quasi-Experiment_Using_Transfer_Payments_from_Casino_Profits,,,Unconditional cash transfers on a six-months basis,North Carolina,,Effects on children via parental quality,0,0,1,0,1,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"Randall Akee, William E. Copeland, Gordon Keeler, Elizabeth Jane Costello. Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits. American Economic Journal Applied Economics. January 2010.","An regular unconditional cash transfer led to children having higher levels of education in their young adulthood and a lower incidence of criminality for minor offenses, likely via improved parental quality.",https://www.researchgate.net/publication/46554211_Parents'_Incomes_and_Children's_Outcomes_A_Quasi-Experiment_Using_Transfer_Payments_from_Casino_Profits,,,Unconditional cash transfers on a six-months basis,North Carolina,,Effects on children via parental quality,0,0,1,0,1,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"Johannes Haushofer, Jeremy Shapiro. The Long-term Impact Of Unconditional Cash Transfers: Experimental Evidence From Kenya. January 2018.","Using a two stage randomization design, Haushofer and Shapiro assess the economic and psychological outcomes three years after the beginning of the Give Directly cash transfer program in 2011. The authors report  higher levels of asset holdings, consumption, food security and psychological well-being relative to non-recipients in the same village. They also note spillover effects, wherein households affected by the spillovers have lower consumption and food security than pure control households. ",http://jeremypshapiro.com/papers/Haushofer_Shapiro_UCT2_2018-01-30_paper_only.pdf,,,,,,,1,1,0,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/2.jpg
"Johannes Haushofer, Jeremy Shapiro. The Long-term Impact Of Unconditional Cash Transfers: Experimental Evidence From Kenya. January 2018.","Using a two stage randomization design, Haushofer and Shapiro assess the economic and psychological outcomes three years after the beginning of the Give Directly cash transfer program in 2011. The authors report  higher levels of asset holdings, consumption, food security and psychological well-being relative to non-recipients in the same village. They also note spillover effects, wherein households affected by the spillovers have lower consumption and food security than pure control households. ",http://jeremypshapiro.com/papers/Haushofer_Shapiro_UCT2_2018-01-30_paper_only.pdf,,,,,,,1,1,0,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/2.jpg
"Amanda Y. Agan, Michael D. Makowsky. The Minimum Wage, EITC, and Criminal Recidivism. SSRN. February 2018.","Using administrative prison release records released between 2000 and 2014, Agan and Makowsky use a difference-indifferences strategy to identify the effect of  state and federal minimum wage increases, and EITC on recidivism. In their analysis on EITC, the availability of state top-ups to the federal EITC is associated with a 1.6 percentage point lower rate of recidivism amongst women, while having no significant effect on men.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3097203,,,,,,,0,0,1,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/3.jpg
